"Topic","Source","Bias","Headline","Byline","Date","URL"
"covid","USA TODAY","Center","Comparing the COVID-19 vaccines","The U.S. Food and Drug Administration has granted emergency use authorizations for three COVID-19 vaccines so far. We compare the different available shots, and several still in the approval process for use in the Untied States.","Mar 27 2021","https://www.usatoday.com/in-depth/graphics/2021/03/27/comparing-covid-19-vaccines/6806600002/"
"covid","Wall Street Journal (News)","Center","Vaccines Appear to Be Slowing Spread of Covid-19 Infections","Vaccines appear to be starting to curb new Covid-19 infections in the U.S., a breakthrough that could help people return to more normal activities as infection worries fade, public-health officials say.","May 03 2021","https://www.wsj.com/articles/vaccines-appear-to-be-slowing-spread-of-covid-19-infections-11619615436"
"covid","New York Times (News)","Lean Left","Millions Are Skipping Their Second Doses of Covid Vaccines","Millions of Americans are not getting the second doses of their Covid-19 vaccines, and their ranks are growing.","Apr 27 2021","https://www.nytimes.com/2021/04/25/business/covid-vaccines-second-doses.html"
"covid","CNN (Online News)","Left","Meet Gen C, the Covid generation","(CNN)Natalie Sanchez heard it in her children's voices when their birthday parties were canceled and saw it on their faces when they couldn't play with friends.","Mar 11 2021","https://www.cnn.com/2021/03/11/us/covid-generation-gen-c/index.html"
"covid","Wall Street Journal (Opinion)","Lean Right","Covid and the New Age of Censorship","Information has never been more plentiful or easier to distribute. Yet we are sliding into a new age of censorship and suppression, encouraged by technology giants and traditional media companies. As someone who’s been falsely characterized as a coronavirus “denier,” I have seen this crisis firsthand.","Dec 08 2020","https://www.wsj.com/articles/covid-and-the-new-age-of-censorship-11607381415"
"covid","CBS News (Online)","Lean Left","Moderna says its COVID-19 vaccine is 96% effective in teens","Moderna's COVID-19 vaccine is 96% effective in teenagers 12- to 17-years-old, the drugmaker said Thursday. The company announced results of the Phase 2 trial in reporting first-quarter earnings. Its  vaccine generated $1.7 billion in revenue in its fiscal first quarter.","May 06 2021","https://www.cbsnews.com/news/moderna-covid-19-vaccine-teens-effective/"
"covid","CBS News (Online)","Lean Left","Moderna says its COVID-19 vaccine is 96% effective in teens","Moderna's COVID-19 vaccine is 96% effective in teenagers 12- to 17-years-old, the drugmaker said Thursday. The company announced results of the Phase 2 trial in reporting first-quarter earnings. Its  vaccine generated $1.7 billion in revenue in its fiscal first quarter.","May 06 2021","https://www.cbsnews.com/news/moderna-covid-19-vaccine-teens-effective/"
"covid","New York Times (News)","Lean Left","Pfizer Reaps Hundreds of Millions in Profits From Covid Vaccine","Last year, racing to develop a vaccine in record time, Pfizer made a big decision: Unlike several rival manufacturers, which vowed to forgo profits on their shots during the Covid-19 pandemic, Pfizer planned to profit on its vaccine.","May 04 2021","https://www.nytimes.com/2021/05/04/business/pfizer-covid-vaccine-profits.html"
"covid","BBC News","Center","Facebook freezes Maduro's page over Covid claim","Facebook has frozen Venezuelan President Nicolás Maduro's page after he claimed without evidence that a herbal remedy could cure Covid-19.","Mar 27 2021","https://www.bbc.com/news/world-latin-america-56551350"
"covid","New York Times (News)","Lean Left","UK Begins Distribution of Pfizer COVID-19 Vaccine","The United Kingdom has begun distributing the world’s first fully tested, clinically authorized COVID-19 coronavirus vaccine. The first recipient was a 90-year-old woman named Margaret Keenan, followed by an 81-year-old man named William Shakespeare. The vaccine, developed by American pharmaceutical company Pfizer and German biotechnology company BioNTech, was approved by British authorities","Dec 08 2020","https://www.nytimes.com/2020/12/07/world/pfizers-vaccine-debuts-in-britain-as-the-worlds-first-fully-tested-vaccine.html"
"covid","NBC News (Online)","Lean Left","Pro-Trump web forums are abuzz with directions to forge Covid vaccine cards","Specific directions showing how to forge Covid-19 vaccination cards have proliferated on conspiracy, pro-Trump and anti-vaccination forums throughout the internet in recent weeks, as users have exploited a largely makeshift verification system.","May 01 2021","https://www.nbcnews.com/tech/tech-news/covid-vaccination-card-fraud-prompts-cdc-action-rcna802"
"covid","Breitbart News","Right","Trump: COVID-19 Vaccine Developments Getting 'Political'","President Donald Trump said he might consider rejecting the Food and Drug Administration's (FDA) new strict vaccine guidelines in a press conference Wednesday. In response to a question about the FDA's new guidelines at the press briefing, Trump said, ""That sounds like a political move."" The president has previously promised a vaccine before the end of the year, contradicting Centers for","Sep 24 2020","https://www.breitbart.com/2020-election/2020/09/23/trump-fda-coronavirus-vaccine-standard-political-move/"
"covid","New York Times (News)","Lean Left","Russia Announces World’s First COVID-19 Vaccine","On Tuesday, Russian President Vladimir Putin announced that Russia had granted regulatory approval for the world’s first coronavirus vaccine, developed by the Moscow-based Gamaleya Institute. Putin claimed that the vaccine, named “Sputnik V,” was safe and effective, and that it had already been given to his daughter. The vaccine has garnered scientific skepticism since it was hinted at last","Aug 11 2020","https://www.nytimes.com/2020/08/11/world/europe/russia-coronavirus-vaccine-approval.html"
"covid","BBC News","Center","Covid-19 paused climate emissions – but they're rising again","The planet had already warmed by around 1.2C since pre-industrial times when the World Health Organization officially declared a pandemic on 11 March 2020. This began a sudden and unprecedented drop in human activity, as much of the world went into lockdown and factories stopped operating, cars kept their engines off and planes were grounded.","Apr 27 2021","https://www.bbc.com/future/article/20210312-covid-19-paused-climate-emissions-but-theyre-rising-again"
"covid","NBC News (Online)","Lean Left","U.S. to share 60 million doses of AstraZeneca Covid vaccine with other countries","The U.S. plans to ship its stockpile of millions of AstraZeneca vaccine doses overseas, a move aimed at helping other countries struggling with a lack of dose to vaccinate their populations.","Apr 26 2021","https://www.nbcnews.com/politics/white-house/u-s-share-60-million-astrazeneca-covid-vaccine-doses-other-n1265398"
"covid","Wall Street Journal (Opinion)","Lean Right","The Second Wave Covid Scare","Stocks sold off Thursday amid investor worries that a “second wave” of coronavirus infections could cause countries and states that are reopening to lock down again. But headlines about a coronavirus resurgence in the U.S. are overblown so far, and the bigger threat is keeping the economy in a coma.","Jun 13 2020","https://www.wsj.com/articles/the-second-wave-covid-scare-11591919250?mod=e2two"
"covid","Wall Street Journal (News)","Center","U.S. Unemployment Claims Hit New Covid-19 Pandemic Low","Worker filings for jobless benefits declined to 547,000 last week, a new pandemic low that adds to evidence of a strengthening labor market and overall economic recovery.","Apr 22 2021","https://www.wsj.com/articles/weekly-jobless-claims-coronavirus-04-22-2021-11619041467?mod=hp_lead_pos1"
"covid","Wall Street Journal (News)","Center","House Set to Approve Covid-19 Relief Bill","The House was set to pass a $1.9 trillion coronavirus relief package Wednesday and send it to President Biden for his signature, as Democrats prepared to push through new payments to households and other aid measures without any Republican support.","Mar 10 2021","https://www.wsj.com/articles/house-set-to-approve-covid-19-relief-bill-11615372203?mod=politics_lead_pos1"
"covid","Fox News (Online News)","Lean Right","CDC issues guidelines for COVID-19 vaccinated population","The Centers for Disease Control and Prevention (CDC) Monday released highly anticipated guidance on practices considered safe for those who are fully vaccinated against the novel coronavirus, relating to gatherings, quarantine and testing. Of note, the federal health agency said that those who are fully vaccinated can spend time with unvaccinated people indoors, with no mask, so long as those","Mar 08 2021","https://www.foxnews.com/health/cdc-guidelines-covid-19-vaccinated-population"
"covid","BBC News","Center","Covid-19: US to advise against travel to 80% of countries","The US state department is to advise Americans to avoid 80% of countries worldwide because of the coronavirus pandemic.","Apr 20 2021","https://www.bbc.com/news/world-us-canada-56813852"
"covid","NPR (Online News)","Center","Supreme Court Rules For Worshippers And Against California COVID Restrictions","For the fifth time, the U.S. Supreme Court has sided with religious adherents and against California's COVID-19 restrictions. This time, the court barred the state from enforcing a rule that for now limits both religious and non-religious gatherings in homes to no more than three households.","Apr 11 2021","https://www.npr.org/2021/04/10/986010977/supreme-court-rules-for-worshippers-and-against-california-covid-restrictions"
"covid","Fox News (Online News)","Lean Right","Mother's Day amid COVID – I know how hard this year's been, give yourself a pat on the back","This Mother’s Day, I would like to take a moment to congratulate all the moms who made this past year possible. Of course, I know it wasn’t just mothers. Fathers, guardians, caregivers and more made this possible, but Sunday is Mother’s Day so I would like to focus on the moms.","May 09 2021","https://www.foxnews.com/opinion/mothers-day-covid-struggle-loss-survival-leslie-marshall"
"covid","CNN (Online News)","Left","Covid-19 vaccinations are climbing. But familiar mistakes could lead to more misery","For more than a year, the US has battled a ruthless enemy: a novel virus that took no mercy on American communities, crippled hospital systems and took the lives of more than half a million people.","Apr 09 2021","https://www.cnn.com/2021/04/09/us/us-covid-vaccines-mistakes-progress-analysis/index.html"
"covid","Fox News (Online News)","Lean Right","'Breakthrough' COVID-19 reported in 4 fully vaccinated individuals","Health officials in Oregon said they are investigating four so-called ""breakthrough"" cases of coronavirus that were detected in individuals two weeks after they received their second dose of vaccine. The illnesses range from asymptomatic to mild, according to a news release posted Friday.","Feb 15 2021","https://www.foxnews.com/health/breakthrough-covid-19-fully-vaccinated-individuals-oregon"
"covid","BBC News","Center","Trump Covid: President leaves hospital to continue Covid-19 treatment","US President Donald Trump has left hospital, three days after being admitted with Covid-19, vowing to be back on the campaign trail soon.","Oct 05 2020","https://www.bbc.com/news/election-us-2020-54427390"
"covid","USA TODAY","Center","After losing their moms to COVID-19, some would rather Mother's Day not 'exist at all'","They all cry, naked in their grief.","May 08 2021","https://www.usatoday.com/story/life/health-wellness/2021/05/07/pandemic-mothers-day-hurts-those-grieving-moms-lost-covid-19/4949197001/"
"covid","NPR (Online News)","Center","New Study Estimates More Than 900,000 People Have Died Of COVID-19 In U.S.","A new study estimates that the number of people who have died of COVID-19 in the U.S. is more than 900,000, a number 57% higher than official figures.","May 06 2021","https://www.npr.org/sections/coronavirus-live-updates/2021/05/06/994287048/new-study-estimates-more-than-900-000-people-have-died-of-covid-19-in-u-s"
"covid","CNN (Online News)","Left","'I wish I had a concrete answer.' Oregon confronts perplexing vaccine hesitancy as Covid-19 cases rise","This mountainous frontier city on the Columbia River plateau romanticizes the pioneer personality of the Old West and celebrates its rugged past with one of the world's oldest rodeos.","May 05 2021","https://www.cnn.com/2021/05/05/us/oregon-pendleton-covid-vaccine-hesitancy/index.html"
"covid","Fox News (Online News)","Lean Right","Biden's new COVID-19 vaccine goal aims for 160M fully inoculated by July 4","President Joe Biden announced a new vaccination goal on Tuesday while providing an update on the pandemic, aiming for 160 million U.S. adults to be fully inoculated against coronavirus by July 4. According to federal data, over 105 million Americans, or nearly 32% of the population, are now fully vaccinated. Biden is also aiming for 70% of the U.S. adult population to have one vaccine shot by","May 04 2021","https://www.foxnews.com/health/bidens-covid-19-vaccine-goal-160m-fully-inoculated-july-4"
"covid","CBS News (Online)","Lean Left","COVID is killing 120 people an hour in India, and it could stay ""really grim"" for months","A month after the second wave of coronavirus infections started sweeping over India, the country is mired in grief, and it could be weeks, even months before the situation improves. On Tuesday, yet another grim milestone was crossed: 20 million cases of COVID-19 registered since the start of the pandemic. About seven million of those were confirmed over the last month alone.","May 04 2021","https://www.cbsnews.com/news/india-covid-crisis-deaths-vaccine-oxygen/"
"covid","Fox News (Online News)","Lean Right","COVID-19 vaccinations might become mandatory at colleges and universities","As college campuses target the fall semester for a return to ""normal"" learning, a new item will likely be added to the back-to-school checklist.","Mar 31 2021","https://www.foxnews.com/us/covid-19-vaccinations-might-become-mandatory-at-colleges-and-universities"
"covid","NPR (Online News)","Center","Pfizer Says COVID-19 Vaccine Shows '100% Efficacy' In Adolescents","New clinical trials showed that Pfizer's COVID-19 vaccine elicits ""100% efficacy and robust antibody responses"" in adolescents from 12-15 years old, the drug company announced Wednesday. The trial included 2,260 trial participants; the results are even better than earlier responses from participants ages 16-25.","Mar 31 2021","https://www.npr.org/sections/coronavirus-live-updates/2021/03/31/982983455/pfizer-says-covid-19-vaccine-shows-100-efficacy-in-adolescents"
"covid","Wall Street Journal (News)","Center","Covid-19 Is Dividing the American Worker","For many professionals, technology has been a lifeline during the pandemic, enabling them to be productive while stuck at home. For many other workers, it is a new dividing line, corralling them further into the stagnant corners of the economy.","Aug 22 2020","https://www.wsj.com/articles/covid-19-is-dividing-the-american-worker-11598068859?mod=e2tw"
"covid","Wall Street Journal (Opinion)","Lean Right","Untangling the Media Myths of Covid-19","Has there been in recent history a more tendentious, hysterical, data-denying and frankly disreputable exercise in misdirection than the way in which much of America’s media has covered the Covid-19 epidemic?","Aug 11 2020","https://www.wsj.com/articles/untangling-the-media-myths-of-covid-19-11597099357?mod=hp_opin_pos_3"
"covid","BBC News","Center","Covid vaccine: WHO warns of 'catastrophic moral failure'","The world is on the brink of ""catastrophic moral failure"" because of the unequal distribution of Covid vaccines, the head of the World Health Organization (WHO) has warned.","Jan 18 2021","https://www.bbc.com/news/world-55709428"
"covid","CNN (Online News)","Left","Pfizer and Moderna vaccines reduce Covid-19 hospitalization risk by 94% among older adults, CDC study says","The Pfizer/BioNTech and Moderna Covid-19 vaccines were found in the real world to be 94% effective against Covid-19 hospitalization among fully vaccinated adults ages 65 and older in the United States, according to a new US Centers for Disease Control and Prevention study.\nThe study also found that the vaccines were 64% effective among those older adults who were partially vaccinated, meaning","Apr 28 2021","https://www.cnn.com/2021/04/28/health/covid-19-vaccines-reduce-hospitalization-cdc-study/index.html"
"covid","Fox News (Online News)","Lean Right","Biden moves to extend key parts of COVID-19 relief bills with American Families Plan","President Biden is expected to announce the American Families Plan during his first joint address to Congress on Wednesday that has been framed as a complement to earlier massive investments during the COVID-19 era, but critics will likely seize on the plan as an attempt to extend major parts of the earlier relief packages.","Apr 28 2021","https://www.foxbusiness.com/politics/biden-announces-american-families-plan-with-focus-on-education"
"covid","BBC News","Center","Covid-19 paused climate emissions – but they're rising again","The planet had already warmed by around 1.2C since pre-industrial times when the World Health Organization officially declared a pandemic on 11 March 2020. This began a sudden and unprecedented drop in human activity, as much of the world went into lockdown and factories stopped operating, cars kept their engines off and planes were grounded.","Mar 20 2021","https://www.bbc.com/future/article/20210312-covid-19-paused-climate-emissions-but-theyre-rising-again"
"covid","ABC News (Online)","Lean Left","1 in 4 New Yorkers has received at least 1 COVID-19 vaccine dose","About 1 in 4 New Yorkers has received at least one dose of COVID-19 vaccine, according to state data.","Mar 20 2021","https://abcnews.go.com/US/yorkers-received-covid-19-vaccine-dose/story?id=76578929"
"covid","NPR (Online News)","Center","Doctors Encouraged By Antibody Treatments For COVID-19","Many doses of the monoclonal antibody drugs that treat mild to moderate COVID-19 are sitting unused around the country. There are logistical problems with providing these drugs and skepticism over whether they work. But two major health systems have had good success in deploying these medications, and they're reporting hopeful results.","Jan 06 2021","https://www.npr.org/sections/health-shots/2021/01/06/953946994/doctors-encouraged-by-antibody-treatments-for-covid-19"
"covid","New York Times (News)","Lean Left","U.S. Rushes to Expand Covid Vaccine Eligibility in a ‘Race Against Time’","Officials in at least 17 states have committed in recent days to opening coronavirus vaccine appointments to all adults in March or April, part of a fast-moving expansion as states race to meet President Biden’s goal of universal eligibility by May 1.","Mar 19 2021","https://www.nytimes.com/2021/03/19/us/vaccine-eligibility-states.html"
"covid","Fox News (Online News)","Lean Right","AstraZeneca tries to reassure public after recent COVID vaccine safety concerns","AstraZeneca issued a statement on Monday defending its COVID-19 vaccine after some countries raised concerns about blood clots in vaccine recipients and called for a temporary suspension.","Mar 16 2021","https://www.foxnews.com/health/astrazeneca-tries-to-calm-countries-after-recent-covid-vaccine-safety-concerns"
"climate+change","Breitbart News","Right","Sanders: Next Reconciliation Bill Will Deal with Climate Change","On Monday’s broadcast of CNN’s “AC360,” Senate Budget Committee Chairman Bernie Sanders (I-VT) said that the next piece of budget reconciliation legislation will deal with “structural problems,” such as “how we can create millions of good-paying jobs, rebuilding our crumbling infrastructure, and transforming our energy system to protect us from climate change.”","Mar 08 2021","https://www.breitbart.com/clips/2021/03/08/sanders-next-reconciliation-bill-will-deal-with-climate-change/"
"climate+change","BBC News","Center","Climate change: EU to cut CO2 emissions by 55% by 2030","The EU has adopted ambitious new targets to curb climate change, with a pledge to make them legally binding.","Apr 21 2021","https://www.bbc.com/news/world-europe-56828383"
"climate+change","New York Times (News)","Lean Left","Biden’s Big Bet: Tackling Climate Change Will Create Jobs, Not Kill Them","WASHINGTON — In 2017, as Donald J. Trump was announcing the United States’ withdrawal from the Paris climate accord, the largest global effort to attack planetary warming, he declared, “I was elected to represent the citizens of Pittsburgh, not Paris.”","Apr 01 2021","https://www.nytimes.com/2021/03/31/climate/biden-climate-jobs.html?action=click&module=Spotlight&pgtype=Homepage"
"climate+change","USA TODAY","Center","The new weather normal in the US: Hotter than it used to be, thanks to climate change","The United States' weather ""normals"" have gotten warmer: What’s considered “normal” weather is now about a degree (Fahrenheit) warmer than it was a little more than a decade ago, scientists announced Tuesday.","May 04 2021","https://www.usatoday.com/story/news/nation/2021/05/04/climate-change-us-new-normal-hotter-than-used/4941336001/"
"climate+change","Washington Post","Lean Left","Climate Change Activists Take Field at Harvard-Yale Football Game","The annual Thanksgiving week football game between Harvard and Yale Universities this past Saturday in New Haven, Conn. saw activists and protesters storm the field at halftime, calling on the schools to divest their endowments from fossil fuel companies. 42 people were charged with disorderly conduct in connection with the demonstration; the student groups behind the protest released a","Nov 25 2019","https://www.washingtonpost.com/sports/2019/11/23/climate-change-protesters-swarm-harvard-yale-football-game-with-chants-ok-boomer/"
"climate+change","Washington Post","Lean Left","The undeniable link between weather disasters and climate change","By many measures, 2020 has been disastrous. Hurricanes in the Atlantic are so numerous that there are not enough letters in the Latin alphabet to name them all. Fires in California torched more than 4 million acres, smashing the state’s record for land burned in a single season. In the first nine months of this year, at least 188 people have been killed in a record-tying 16 weather disasters","Oct 22 2020","https://www.washingtonpost.com/climate-solutions/2020/10/22/climate-curious-disasters-climate-change/?utm_campaign=wp_main&utm_source=twitter&utm_medium=social"
"climate+change","NBC News (Online)","Lean Left","A growing toxic threat — made worse by climate change","Hurricanes, floods and wildfires imperil hundreds of hazardous waste sites. But the Trump administration won't talk about the rising risks.","Sep 24 2020","https://www.nbcnews.com/specials/superfund-sites-climate-change/index.html"
"climate+change","Breitbart News","Right","Chuck Schumer: Combating Climate Change Will Be a ‘Whole of Senate Approach’","Senate Majority Leader Chuck Schumer (D-NY) plans to make combatting climate change a “whole of Senate approach” for however long Democrats retain the majority.","Feb 04 2021","https://www.breitbart.com/environment/2021/02/03/chuck-schumer-combating-climate-change-will-be-a-whole-of-senate-approach/"
"climate+change","New York Times (News)","Lean Left","Trying to Reclaim Leadership on Climate Change","At the end of his first year in office, President Obama flew to Copenhagen and made a big promise: that the United States would cut its greenhouse gas emissions substantially by 2020 — a bold and risky pledge that hinged on a balky Congress to make it possible. His efforts became bogged down within months, and Mr. Obama’s pledge to the rest of the world soon looked like a pipe dream.","Jun 02 2014","http://www.nytimes.com/2014/06/02/us/politics/obama-tries-to-reclaim-leadership-on-climate-change.html?ref=politics&_r=0"
"climate+change","New York Times (News)","Lean Left","Trying to Reclaim Leadership on Climate Change","At the end of his first year in office, President Obama flew to Copenhagen and made a big promise: that the United States would cut its greenhouse gas emissions substantially by 2020 — a bold and risky pledge that hinged on a balky Congress to make it possible. His efforts became bogged down within months, and Mr. Obama’s pledge to the rest of the world soon looked like a pipe dream.","Jun 02 2014","http://www.nytimes.com/2014/06/02/us/politics/obama-tries-to-reclaim-leadership-on-climate-change.html?hp&_r=0"
"climate+change","Washington Post","Lean Left","For Obama, a renewed focus on climate change","The president is making global warming a policy priority after years of approaching the issue cautiously.","May 05 2014","http://www.washingtonpost.com/politics/for-president-obama-a-renewed-focus-on-climate/2014/05/04/6b81412c-d144-11e3-9e25-188ebe1fa93b_story.html"
"climate+change","Washington Post","Lean Left","The public's interest in climate change is waning","Even as scientists describe climate change as urgent public intensity on the issue is waning.","Apr 02 2013","http://www.washingtonpost.com/blogs/the-fix/wp/2013/04/02/polls-suggest-publics-interest-in-climate-change-is-waning/"
"climate+change","Wall Street Journal (News)","Center","Minnesota Sues Exxon, Koch over Climate Change","The Minnesota attorney general sued Exxon Mobil Corp., Koch Industries and a top oil-and-gas trade group Wednesday, alleging they have for years deceived consumers about the effects of climate change.","Jun 24 2020","https://www.wsj.com/articles/minnesota-sues-exxon-koch-over-climate-change-11593033319"
"climate+change","CBS News (Online)","Lean Left","Climate change is responsible for billions of dollars in flood costs, study says","Over the past 40 years, damage from major weather and climate disasters has cost the United States nearly $2 trillion dollars. A closer look at the data reveals that recently the cost of such incidents has been escalating quickly, due in part to human-caused climate change.","Jan 11 2021","https://www.cbsnews.com/news/climate-change-flood-costs-study/"
"climate+change","BBC News","Center","Covid-19 paused climate emissions – but they're rising again","The planet had already warmed by around 1.2C since pre-industrial times when the World Health Organization officially declared a pandemic on 11 March 2020. This began a sudden and unprecedented drop in human activity, as much of the world went into lockdown and factories stopped operating, cars kept their engines off and planes were grounded.","Apr 27 2021","https://www.bbc.com/future/article/20210312-covid-19-paused-climate-emissions-but-theyre-rising-again"
"climate+change","CNN (Online News)","Left","Unlike Trump, Biden believes in climate change -- and his nominees prove it","President-elect Joe Biden will restore key features of the presidency that have been absent for the past four years, chief among them a belief that humans cause climate change. Biden made his commitment to science abundantly clear in announcing the nominations of his economic, health and environment teams.","Dec 19 2020","https://www.cnn.com/2020/12/18/opinions/biden-nominees-bold-climate-action-reid/index.html"
"climate+change","USA TODAY","Center","Want to stop climate change? Embrace the nuclear option.","Without nuclear, even if we achieved net-zero new emissions globally, we’d continue to add extra heat at the same rate we are adding it today.","Jan 22 2020","https://www.usatoday.com/story/opinion/2020/01/22/climate-change-solution-nuclear-energy-our-best-hope-column/2821183001/"
"climate+change","NPR (Online News)","Center","Mozambique Is Racing To Adapt To Climate Change. The Weather Is Winning","In early March, people who live along Mozambique's long coastline began to hear rumors about a cyclone.","Dec 27 2019","https://www.npr.org/sections/goatsandsoda/2019/12/27/788552728/mozambique-is-racing-to-adapt-to-climate-change-the-weather-is-winning"
"climate+change","Wall Street Journal (News)","Center","States Explored Litigation to Challenge U.S. Policy on Climate Change","Nearly two dozen Democratic-led states at odds with the Trump administration on climate-change policy joined forces last year to explore using the courts to secure federal mandates on greenhouse-gas emissions, according to records and interviews.","Nov 30 2020","https://www.wsj.com/articles/states-explored-litigation-to-challenge-u-s-policy-on-climate-change-11606559400"
